Distance,Score
47,235
44,
42,
46,
50,
50,
60,
62,
71,
79,
62,
47,
46,
46,
55,
51,
46,
49,
50,
49,
49,
49,
48,
66,
71,
45,
72,
64,
63,
62,
63,
60,
63,
63,
64,
68,
63,
54,
53,
56,
58,
57,
60,
61,
59,
56,
56,
60,
57,
56,
56,
57,
55,
56,
56,
56,
57,
57,
56,
56,
56,
57,
56,
56,
57,
57,
56,
56,
57,
56,
57,
56,
56,
56,
56,
56,
55,
55,
58,
56,
56,
58,
56,
57,
57,
56,
56,
57,
57,
57,
57,
57,
57,
56,
55,
57,
56,
58,
57,
57,
57,
57,
59,
58,
56,
57,
56,
55,
56,
57,
56,
57,
56,
56,
57,
56,
57,
57,
57,
57,
57,
57,
57,
56,
57,
57,
57,
57,
56,
57,
56,
57,
56,
56,
56,
56,
56,
56,
56,
56,
57,
58,
59,
61,
60,
60,
59,
60,
61,
59,
60,
58,
59,
61,
60,
62,
60
