Distance,Score
38,580
37,
37,
50,
35,
36,
38,
36,
33,
33,
33,
36,
35,
35,
35,
31,
26,
30,
28,
29,
28,
33,
30,
29,
28,
28,
25,
29,
26,
29,
27,
27,
28,
28,
29,
38,
29,
29,
28,
28,
26,
28,
28,
35,
30,
28,
30,
28,
29,
29,
28,
28,
28,
28,
28,
28,
28,
30,
29,
29,
28,
28,
30,
28,
28,
29,
29,
29,
28,
29,
29,
29,
30,
38,
32,
31,
31,
28,
29,
29,
30,
33,
30,
32,
38,
36,
31,
40,
39,
30,
39,
30,
29,
29,
29,
29,
32,
42,
28,
33,
29,
29,
29,
29,
30,
28,
28,
28,
28,
29,
31,
35,
34,
30,
29,
29,
28,
29,
32
