Distance,Score
57,303
58,
58,
55,
56,
60,
56,
57,
57,
57,
59,
57,
58,
60,
57,
57,
56,
68,
58,
67,
60,
61,
57,
56,
56,
58,
57,
57,
57,
57,
57,
57,
57,
58,
57,
57,
58,
58,
58,
57,
58,
59,
58,
60,
60,
57,
58,
57,
60,
58,
59,
59,
59,
58,
59,
58,
59,
62,
63,
58,
56,
62,
55,
56,
58,
54,
54,
55,
54,
55,
54,
54,
58,
65,
59,
59,
61,
60,
61,
61,
62,
61,
60,
59,
59,
59,
60,
61,
61,
63,
62,
59,
57,
53,
53,
53,
53,
52,
52,
61,
51,
51,
51,
51,
51,
53,
51,
51,
52,
53,
52,
52,
52,
52,
52,
52,
51,
53,
53,
59,
61,
59,
55,
58,
51,
62,
64,
60,
65,
64,
63,
63,
65,
63,
67,
69,
60,
61,
66,
50,
54,
55,
53,
60,
58,
57,
58,
59
