Distance,Score
54,35
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58,
54,
53,
55,
55,
54,
54,
55,
58,
57,
56,
58
